document,partition,label
"Skripsi ini adalah hasil penelitian lapangan (field research) dengan judul “Analisis Hukum Islam dan Hukum Positif Tentang Hak Perwalian Nikah Anggota Lembaga Dakwah Islam Indonesia (LDII) Di Desa Medaeng Kecamatan Waru Kabupaten Sidoarjo”. Penelitian ini bertujuan untuk menjawab dua rumusan masalaha yaitu: Bagaimana penetapan hak perwalian nikah anggota LDII bagi calon pengantin perempuan di desa Medaeng kecamatan Waru kabupaten Sidoarjo dan bagaimana analisis hukum Islam dan hukum positif tentang hak perwalian nikah anggota LDII bagi calon pengantin perempuan. Data penelitian disajikan dengan teknik deskriptif analisis dengan pola pikir deduktif, sehingga memberikan pemahaman yang konkrit dan dapat ditarik kesimpulan. Dalam hal ini, berangkat dari teori-teori tentang wali dalam sebuah pernikahan kemudian melihat data dan fakta penetapan wali nikah anggota LDII yang memperbolehkan nasab jalur dari ibu menjadi wali nikah. Menganalisisnya yaitu mengaitkan fakta dengan dalil-dalil yang terdapat didalam literatur yakni hukum Islam dan hukum positif sebagai kacamata analisis sehingga dapat ditarik kesimpulan. Hasil penelitian ini menyimpulkan bahwa penetapan wali nikah yang dilaksanakan oleh anggota LDII memang sudah sesuai dengan hukum Islam yang dianut oleh madhab Hanafi dengan memasukkan nasab dari jalur ibu menjadi wali nikah, dengan hierarki jalur nasab ayah lebih diutamakan, selanjutnya apabila mereka tidak ada beralih kepada jalur nasab ibu kemudian hakim, akan tetapi dalam hukum positif berlaku sebaliknya, di dalamnya hanya memasukkan jalur nasab ayah dengan urutan secara hierarki apabila jalur nasab ayah tidak ada langsung beralih pada hakim dan mengecualikan nasab dari jalur ibu. Berdasarkan kesimpulan diatas melihat hukum islam kecuali hanafi dan hukum positif yang dipakai di Negara Indonesia dimana ketetapan hak perwalian nikah berada pada jalur nasab ayah sepenuhnya. Jadi, alangkah lebih baik permasalahan ini dikembalikan lagi kepada pemerintah yang sudah jelas mengatur permasalahan perwalian dalam nikah.",train,hukum perdata islam
"Skripsi yang ditulis dengan judul “Implementasi Peraturan Bupati Gunungkidul Nomor 36 Tahun 2015 Tentang Pencegahan Perkawinan Pada Usia Anak Dalam Perspektif Mas}lah}ah Mursalah” merupakan penelitian pustaka yang bertujuan untuk menjawab rumusan masalah. Rumusan masalah yang pertama yaitu, bagaimana implementasi Perbup Gunungkidul Nomor 36 Tahun 2015 Tentang Pencegahan Perkawinan Pada Usia Anak? dan rumusan masalah yang kedua yaitu, bagaimana implementasi Perbup Gunungkidul Nomor 36 Tahun 2015 Tentang Pencegahan Perkawinan Pada Usia Anak dalam perspektif Maslahah Mursalah?. Penelitian ini merupakan jenis penelitian Etnografi (field research). Tehnik yang digunakan dalam penelitian ini adalah data penelitian yang dihimpun dari telaah teks dan wawancara Ketua DPRD Kabupaten Gunungkidul, Humas PA Wonosari Gunungkidul, Ketua Bidang BPMPKB Gunungkidul, dan beberapa masyarakat Gunungkidul. Kemudian data yang terkumpul dianalisis dengan metode analisis dekstriptif dengan pola pikir deduktif, yakni menggambarkan hasil penelitian secara sistematis dari hasil telaah teks dan wawancara, kemudian penulis memberikan pemecahan persoalan dengan teori Maslahah Mursalah Perbup tentang pencegahan perkawinan pada usia anak yang bersifat khusus. Dari hasil penelitian ini dapat diketahui bahwa: Pertama, implementasi Perbup Gunungkidul Nomor 36 Tahun 2015 Tentang Pencegahan Perkawinan Pada Usia Anak merupakan peraturan khusus berupa upaya-upaya, program, aksi, kegiatan yang digunakan instansi pemerintahan Kabupaten Gunungkidul dalam rangka mencegah terjadinya perkawinan pada usia anak dan menurunkan angka perkawinan pada usia anak. Kedua, peraturan ini memiliki sisi kebaikan dan kemanfaatan dimana peraturan ini memang telah menjadi dasar tegaknya kehidupan asasi manusia (maslahah dharuriyyah, peraturan ini juga telah menjawab persoalan yang dibutuhkan manusia untuk menghilangkan kesulitan dan kesusahan yang dihadapi (maslahah hajiyyah), selain itu peraturan ini telah memelihara kebagusan dan kebaikan budi pekerti serta keindahan sosial budaya (maslahah tahsiniyyah). Sesuai dengan penelitian ini maka Perbup Gunungkidul Nomor 36 Tahun 2015 Tentang Pencegahan Perkawinan Pada Usia Anak telah sesuai dengan prinsip-prinsip mas}lah}ah mursalah. Oleh sebab itu, maka disarankan peraturan ini bisa dijadikan percontohan untuk ditiru dan diterapkan oleh daerah di sekitarnya baik secara skala dalam provinsi maupun skala luar provinsi se-Indonesia.",train,hukum perdata islam
"Jenis penelitian ini adalah penelitian lapangan (field research) dan pengumpulan datanya menggunakan teknik wawancara dan dokumentasi. Kemudian teknik analisis data menggunakan teknik deskriptif analisis, yang selanjutnya disusun secara sistematis sehingga menjadi data yang konkret mengenai pelaksanaan mediasi permohonan izin poligami di Pengadilan Agama Surabaya. Data tersebut diolah dan dianalisis menggunakan teori hukum positif yaitu PERMA No. 1 Tahun 2016 tentang Prosedur Mediasi di Pengadilan dan UU No. 1 Tahun 1974 tentang Perkawinan. Pelaksanaan mediasi permohonan izin poligami di Pengadila Agama Surabaya dapat dilakukan ketika perkara permohonan sudah terdaftar. Proses Mediasi dilakukan dengan dua tahapan yaitu tahap pramediasi dan proses mediasi. Gambaran umum selama proses mediasi di Pengadilan para para pihak terutama pemohon menyampaikan segala hal yang mempengaruhi pengajuan permohonan poligami tersebut dan para pihak juga diberikan kesempatan luang untuk bebas menyampaikan pendapat atau informasi perihal perkaranya untuk nanti memudahkan mediator mencari titik permasalahan dan menyimpulkan hasil dari mediasi.  Berhasil atau tidaknya mediasi, mediator secara pribadi akan memberikan saran dengan tidak memberatkan satu dengan yang lain. Pelaksanaan mediasi di Pengadilan Agama Surabaya belum sepenuhnya memenuhi tujuan dari diterbitkannya PERMA No. 1 Tahun 2016 tentang Prosedur Mediasi di Pengadilan agar menjadi berdayaguna dan mampu meningkatkan keberhasilan. Karena tingkat keberhasilan yang masih jauh dari harapan dan beberapa faktor kegagalan mediasi dapat disebabkan oleh pihak mediator ketika menganggap mediasi hanya bagian dari menjalankan prosedural, para pihak yang memang tidak beretikad baik untuk melakukan mediasi, dan bahkan dali-dalil dalam permohonan poligami. Kemudian menurut UU No.1 Tahun 1974 terkait dengan persyaratan poligami dan pengajuan permohonan poligami sudah sesuai dengan aturan.",train,hukum perdata islam
"Skripsi ini adalah hasil penilitian lapangan (field research) yang berjudul “Analisis Hukum Islam Terhadap Praktik Hutang Piutang dengan Tambahan Pembayaran sebagai Jasa di Desa Sruni Kecamatan Gedangan Kabupaten Sidoarjo” dimana penelitian ini digunakan untuk menjawab pertanyaan mengenai :  bagaimana praktik hutang piutang dengan tambahan pembayaran sebagai jasa di Desa Sruni, Gedangan, Sidoarjo ? dan,  bagaimana analisis hukum Islam terhadap praktik hutang piutang dengan tambahan pembayaran sebagai jasa di Desa Sruni, Gedangan, Sidoarjo? Data penelitian ini diperoleh melalui wawancara dan dokumentasi bersama pihak yang terkait, yaitu dengan ketua Gapoktan sebagai pemberi hutang (muqrid}) dan dengan penerima hutang (muqtarid}). Selanjutnya dianalisis menggunakan teknik deskriptif-analisis dengan menggunakan pola pikir deduktif. Dimana penelitian ini menganalisis dari dalil–dalil Al–Qur’an dan Hadis mengenai qard} (hutang–piutang) dan Riba. 	Hasil penelitian ini menyimpulkan bahwa : pertama, praktik hutang piutang dengan tambahan pembayaran sebagai jasa di Desa Sruni Kecamatan Gedangan Kabupaten Sidoarjo, dimana praktik tersebut telah memenuhi syarat dan rukun yang telah ditentukan dalam akad qard}, yaitu shighat, ‘aqidain serta ketentuan terhadap harta yang dihutangkan. Kedua, praktik hutang piutang dengan tambahan pembayaran sebagai jasa di Desa Sruni Kecamatan Gedangan Kabupaten Sidoarjo tidak sesuai dalam hukum Islam. Meski kedua belah pihak telah sama–sama mengetahui tentang adanya ketentuan tambahan pembayaran hutang dan kedua belah pihak saling ridha, artinya kedua belah pihak melakukannya dengan rasa saling suka sama suka (antaradin), tetapi hal tersebut mengandung adanya unsur riba, yaitu riba qardh yang dilarang dalam Islam, yang sesuai dengan “Kullu qardin jarra manfa’atan fahuwa ar riba” yang artinya Setiap pinjaman atau hutang piutang (qard}) yang mengalirkan atau mensyaratkan adanya kelebihan dalam pengembaliannya, maka termasuk dalam kategori riba. 	Sejalan dengan kesimpulan diatas, maka bagi anggota–anggota yang terdaftar di Desa Sruni Kecamatan Gedangan Kabupaten Sidoarjo yang melakukan transaksi tersebut harus lebih memperhatikan prinsip–prinsip yang ada dalam Islam serta bagi pengurus–pengurus yang ada agar bisa mencari pemasukan yang lain misalnya, membuka usaha seperti menjual barang–barang yang dibutuhkan oleh anggota–anggotanya.",train,hukum perdata islam
"Skripsi ini adalah penelitian lapangan dengan judul Analisis Hukum Islam Terhadap Program Pendewasaan Usia Perkawinan Oleh Dinas Pemberdayaan Perempuan Dalam Mengurangi Pernikahan Usia Dini. Penelitian ini bertujuan untuk menjawab pertanyaan. Pertama, bagaimana program Pendewasaan Usia Perkawinan Dinas Pemberdayaan Perempuan dan Keluarga Berencana Kab. Banyuwangi dalam mengurangi perkawinan usia dini? Kedua, bagaimana analisis hukum Islam terhadap program pendewasaan usia perkawinan Dinas Pemberdayaan Perempuan dan Keluarga Berencana kabupaten Banyuwangi?. Metode penelitian yang digunakan adalah metode kualitatif melalui teknik pengumpulan data, yaitu berupa teknik wawancara, dan dokumentasi. Selanjutnya, analisis menggunakan metode deskriptif analisis, fakta mengenai pelaksanaan Pendewasaan Usia Perkawinan program nasional yang selanjutnya diteruskan untuk diterapkan guna mengurangi pernikahan usia dini di Kabupaten Banyuwangi. Kemudian dapat diambil kesimpulan dengan menggunakan pola pikir deduktif, yaitu dengan memaparkan dalil-dalil tentang perkawinan dan usia perkawinan dalam Islam. Selanjutnya teori ini dipakai untuk menganalisis praktik program pendewasaan usia perkawinan. Hasil penelitian ini menyimpulkkan bahwa yang dipraktikkan DPPKB Banyuwangi pada program Pendewasaan Usia Perkawinan tidak bertentangan dengan hukum Islam secara umum karena pada dasarnya Islam tidak memberikan batasan umur dalam perkawinan secara khusus. Islam tetap mengajarkan bahwa pernikahan pada kedewasaan. Dalam Penerapan Pendewasaan Usia perkawinan yang merupakan program BKKBN nasional cukup berhasil di Banyuwangi. Meskipun pada penerapan dilapangan menurut data yang penulis dapatkan bahwa ada ketidak sesuaian terhadap undang-undang yang berlaku pada saat ini yaitu, Undang-undang No. 1 Tahun 1974 tentang perkawinan, Undang-undang No. 35 Tahun 2014 tentang perubahan terhadap Undang-undang No. 23 Tahun 2002 tentang perlindungan anak dan juga pada aspek budaya  di Kabupaten Banyuwangi yang dibilang masih sangat kental dan sulit dipisahkan. Adanya program tersebut sebagai penyempurna dari Undang-undang yang berlaku. Meskipun banyak problematika yang di alami oleh Dinas Pemberdayaan Perempuan dan Keluarga Berencana Kabupaten Banyuwangi akan tetapi program Pendewasaan Usia Perkawinan dapat disadari oleh masyarakat Banyuwangi, sebagaimana keterangan Kepala Bidang Keluarga Berencana dan Keluarga Sejahtera. Sejalan dengan kesimpulan di atas, maka pihak yang terkait DPPKB Banyuwangi disarankan untuk tetap mengedukasi remaja yang ada di Banyuwangi guna tercapai tujuan pernikahan yang sebenarnya, harmonis dan tentram dalam berkeluarga. Dengan melihat data pengurangan pernikahan usia dini yang setiap tahunnya menurun.",train,hukum perdata islam
"Skripsi yang berjudul “Analisis Hukum Islam terhadap praktik jual beli ikan laut tanpa menggunakan alat timbang di tempat pelelangan ikan studi kasus di Desa Brondong Kecamatan Brondong Kabupaten Lamongan” ini menjawab pertanyaan yang tertuang dalam rumusan masalah, meliputi: Bagaimana praktik jual beli ikan laut tanpa menggunakan alat timbang dan Bagaimana analisis hukum Islam terhadap praktik jual beli ikan laut tanpa menggunakan alat timbang di tempat pelelangan ikan studi kasus di Desa Brondong Kecamatan Brondong Kabupaten Lamongan. Data penelitian merupakan hasil penelitian lapangan (field research) di Desa Brondong Kecamatan Brondong Kabupaten Lamongan, yang dihimpun melalui observasi, wawancara dan dokumentasi. Selanjutnya dianalisis menggunakan pola pikir deduktif, yakni memaparkan terlebih dahulu teori-teori tentang jual beli dan bedasarkan hal yan bersifat khusus dalam praktik jual beli ikan laut ditempat pelelangan ikan di desa Brondong Kecamatan Brondong Kabupaten Lamongan, kemudian diperoleh hasil kesimpulan dari analisisnya terhadap landasan teori hukum Islam. Hasil penelitian menyimpulkan bahwa praktik jual beli ikan laut tanpa menggunakan alat timbang di tempat pelelangan ikan, berdasarkan teori jual beli belum memenuhi syarat dan rukun jual beli, karena pada praktinya objek ikan yang diperjualbelikan belum jelas kadarnya, akan tetapi penulis menganalisis kembali berdasarkan teori jual beli jizaf pada zaman Rosulullah yaitu jual beli yang biasa ditakar, tanpa ditimbang kembali, awalnya tidak diperbolehkan namun berubah diperbolehkan apabila memenuhi 6 syarat yang dikemukan oleh madzab Maliki. Salah satuya yaitu masyarakat disana sangat membutuhannya. Maka, Praktik jual beli ikan laut dilakukan di Desa Brondong Kecamatan Brondong Kabupaten Lamongan dapat dikategorikan Jual beli yang sah karena memenuhi karasteristik yang sama dengan jualbeli jizaf pada masa Nabi. Sejalan dengan kesimpulan diatas, maka penulis memberikan saran-saran sebagai berikut: Tata cara/ proses jual beli ikan laut memang harus disesuaikan dengan perkembangan ikan laut; 1) Toleransi antara penjual dan pembeli sangat dibutuhkan untuk menjalin kerjasama dalam berbisnis seperti jual beli ikan laut, sehingga tidak ada satupun dan pihak manapun yang merasa dirugikan. 2) Untuk menghindari perselisihan antara penjual dan pembeli, maka akad diawal perjanjian mengenai ganti rugi dan lain sebagainnya harus sangat jelas. Dan dilakukan secara tertulis agar tidak terjadi hal-hal yang tidak diinginkan. 3)     Hendaknya melakukan praktik jual beli ikan laut dilakukan secara tertulis, agar tidak ada kesalahpahaman antara penjual dan pembeli.",train,hukum perdata islam
"Skripsi yang berjudul “Tinjauan Perundang-Undangan Perkawinan Islam Indonesia Terhadap Pemenuhan Hak dan Kewajiban yang Istrinya Bekerja diluar Negeri (Studi  Kasus di Desa Brengkok Kecamatan Brondong Kabupaten Lamongan)’’ merupakan penelitian lapangan untuk menjawab  pertanyaan tentang bagaimana Istri yang bekerja di luar negerisebagai bentuk pemenuhan hak dan kewajiban di Desa Brengkok Brondong Lamongan dan bagaimana tinjauan perundang-undangan perkawinan Islam  terhadap Istri yang bekerja diluar negeri sebagai bentuk pemenuhan hak dan kewajiban yang bersifat di Desa Brengkok.Data penelitian dihimpun melalui wawancara, observasi, serta dokumentasi yang menunjukan bahwa Istri yang bekerja diluar negeri sebagai bentuk pemenuhan hak dan kewajiban selanjutnya dianalisis dengan menggunakan tekhnik analisis diskriptif, yakni sebuah metode yang menggambarkan dan menafsirkan data yang telah terkumpulkan pola pikir deduktif.Dari hasil penelitian tersebut menghasilkan sebuah kesimpulan bahwa istri yang bekerja diluar negeri sebagai bentuk pemenuhan hak dan kewajiban yang bersifat materi di Desa Brengkok karena adanya beberapa faktor yang mempengaruhi: pertama, suami tidak memiliki pekerjaantetap. Kedua, suami tidak memiliki pekerjaan sama sekeli. Ketiga, suami telah meninggal dunia. Karena adanya faktor tersebut menjadikan munculnya inisiatif seorang istri untuk bekerja keluar negeri demi memenuhi kebutuhan ekonomi keluarga dengan tujuan untuk membantu suami. istri yang bekerja diluar negeri sebagai bentuk pemenuhan hak dan kewajiban yang bersifat materi itu hukumnya boleh,  Dengan tujuan membantu suami dalam memenuhi kebutuhan hidup keluarga sebagai manana bunyi durat Al-Maidah (6) ayat 2 dan surat An-Nahl (16) ayat 97. Namun, jika istri tersebut bekerja keluar negeri , maka hal itu tidak sesuai dengan dengan tugas utama seorang istri. Ia memiliki tugas utama mengurus rumah tangga dan mendidik anak. Sebagai mana diatur dalam Kompilasi Hukum Islam (KHI) pada pasal 83 ayat (2) mengenai kewajiban istri yang berbunyi: “istri menyelengarakan dan mengatur keperluan rumah tangga sehari-hari dengan sebaik-baiknya”. Dan juga diatur dalam undang-undang perkawinan pada pasal 33 ayat (2) yang berbunyi: “ Istri wajib mengatur urusan rumah tangga sebaik-baiknya”. Berbeda halnya dengan fakta yang terjadi pada masyarakat desa Brengkok, istri lebih memilih bekerja diluar negeri, karena bagi mereka bekerja diluar negeri merupakan solusi yang sangat tepat. Sehingga menyebabkan para istri dapat menjalankan kewajibannya dalam keluarga.Penulis berharap hasil penelitian ini dapat dijadikan sebagai masukan dalam memahami hak dan kewajiban suami dan istri dalam keluarga, terutama pada masyarakat Desa Brengkok. Selain itu, semoga hasil penelitian ini dapat dijadikan sebagai bahan pertimbangan bagi masyarakat Desa Brengkok dalam memahami hak dan kewajiban istri yang bersifat materi dalam sebuah keluarga, dan hendaknya bekerja diluar negeri dijadikan sebagai pilihan terakhir yang sangat darurat. Karena peran istri dalam keluarga sangat prnting demi keutuhan dan kebahagiaan keluarga itu sendiri.",train,hukum perdata islam
"Skripsi ini merupakan hasil penelitian normatif tentang “Analisis Hukum Islam Terhadap Mekanisme Kredit Online dalam Pandangan Ahmad Zahro”. Penelitian ini bertujuan untuk menjawab pertanyaan tentang Bagaimana mekanisme kredit online dalam pandangan Ahmad Zahro? dan bagaimana analisis hukum Islam terhadap mekanisme kredit online dalam pandangan Ahmad Zahro?. Data penelitian diperoleh melalui membaca norma-norma, aturan tentang kredit, tentang pendapat Ahmad Zahro dalam bentuk artikel atau ceramah di media sosial serta wawancara untuk memverifikasi. Selanjutnya data dianalisis secara deskriptif dan disimpulkan dengan pola pikir deduktif. Hasil penelitian ini menyimpulkan bahwa, Ahmad Zahro membolehkan kredit online sebagaimana diperbolehkannya kredit konvensional, selama syarat dan rukunnya terpenuhi, tidak merugikan salah satu pihak serta niat yang baik. Dasar hukum yang digunakan adalah bahwa pada dasarnya semua jenis muamalah itu diperbolehkan. Disini yang membedakan hanya masalah teknisnya saja. Sesuai dengan kaidah al-Ashlu fil asy-ya al-ibahah h}atta yadullad dalilu alat tah}rim. Berdasarkan kesimpulan diatas, maka seharusnya Ahmad Zahro lebih menjelaskan lagi tentang mekanisme kredit online. Sehingga masyarakat lebih mengerti tentang bagaimanakah mekanisme kredit online yang baik menurut hukum Islam. Seiring dengan semakin beredarnya rentenir online, maka itu termasuk dalam akibat yang ditimbukan atau efek samping dari kegiatan tersebut. Seharusnya masyarakat lebih berhati-hati dalam menggunakan jasa kredit. Karena semakin banyak rentenir online yang mengatasnamakan dirinya sebagai kredit online. Untuk aplikasi kredit online, harus lebih menjaga keamanan/privasi nasabah agar tidak menyebar ke halayak umum.",train,hukum perdata islam
"Skripsi yang mengkaji tentang analisis maṣlaḥah terhadap pandangan penderita gamophobia tentang pernikahan (studi kasus Di Desa Becirongengor Kecamatan Wonoayu Kabupaten Sidoarjo) disusun guna mengetahui kemaslahatan yang dapat di ambil dalam perilaku hidup membujang Di Desa Becirongengor Kecamatan Wonoayu Kabupaten Sidoarjo. Penelitian lapangan yang menjawab dua pertanyaan tentang bagaimana pandangan penderita gamophobia tentang pernikahan dan bagaimana analisis maṣlaḥah terhadap pandangan penderita gamophobia di Desa Becirongengor Kecamatan Wonoayu Kabupaten Sidoarjo.	Data penelitian ini menggunakan jenis penelitian lapangan (field research), data penelitian pada skripsi ini menggunakan analisis dengan pola pikir deduktif yang berasal dari teori ke fakta atau data penelitian. Dalam hal ini, yang menggunakan metode maṣlaḥah sebagai pisau analisis pandangan penderita gamophobia tentang pernikahan di Desa Becirongengor Kecamatan Wonoayu Kabupaten Sidoarjo. Hasil dari penelitian ini menyimpulkan: pertama, gamopohobia berawal dari ketakutan terhadap pernikahan, akan tetapi ketakutan tersebut difikirkan terus menerus sehingga tertanam di dalam alam bawah sadarnya sehingga terbentuklah fobia atau ketakutan yang berlebihan. Penyebabnya termasuk pengalaman buruk masalah mental seperti anxiety atau depresi, dan tekanan sosial atau budaya. Kedua, hukum pernikahan bagi penderita gamophobia ialah makruh karena gamophobia cenderung susah untuk menjalin interaksi dan komunikasi terhadap hubungan dengan lawan jenis secara intens juga ketika dikhawatirkan akan timbul ke-muḍarat-an yang lebih besar seperti apa yang ditakutkan, hukum mubah membujang ini dengan syarat jika tidak terhalang dengan sesuatu yang tergolong maṣlaḥat ḍarūriyyāt. Hukum pernikahan bagi seseorang yang memiliki tingkat ketakutan yang sedang, maka hukum pernikahannya menjadi makruh dan hukum memilih hidup membujang menjadi mubah. Kemudian hukum bagi seseorang yang memiliki tingkat ketakutan rendah, hukum pernikahannya menjadi mubah dan hukum memilih hidup membujangnya menjadi makruh.	Sejalan dengan kesimpulan di atas, penulis menyarankan kepada para pihak yang terkait tentang gamophobia di Desa Becirongengor Kecamatan Wonoayu Kabupaten Sidoarjo bisa menentukan tingkat ketakutannya, sehingga dapat mempertimbangkan sisi kemaslahatan untuk memperoleh kebaikan sesuai dengan kaidah Islam. Kemudian untuk para peneliti selanjutnya, agar bisa menindak lanjuti hasil penelitian ini dengan perspektif dan pendekatan yang berbeda supaya bisa menemukan perkembangan kasus ini.",train,hukum perdata islam
"Jenis penelitian ini adalah penelitian lapangan, data yang dikumpulkan dengan teknik observasi, wawancara (interview) dan dokumentasi. Selanjutnya dianalisis dengan menggunakan metode analisis deskriptif kualitatif, yaitu pembahasan dimulai dengan mengumpulkan data yang diperoleh mengenai adanya biaya tambahan atas keterlambatan pembayaran cicilan pada aplikasi Akulaku, kemudian dianalisis berdasarkan akad jual beli dan UU No. 8 Tahun 1999 tentang Perlindungan Konsumen dengan pola pikir induktif. Hasil penelitian menyimpulkan bahwa praktik adanya penambahan biaya atas keterlambatan cicilan oleh Akulaku dan hal tersebut telah diberitahukan sebelumnya kepada konsumen sebagaimana tertera dalam syarat dan ketentuan cicilan Akulaku. Akan tetapi pihak konsumen terkadang lalai dalam membaca atau mencari tahu tentang informasi tersebut. Jika ditinjau dengan akad bai’ bahwa dalam akad tersebut telah terpenuhi rukun dan syarat dari jual belinya. Sedangkan dilihat dari UUPK bahwa hak konsumen untuk mengetahui segala informasi termasuk resiko yang akan terjadi dalam transaksi telah dipenuhi oleh pihak Akulaku akan tetapi kelalaian tersebut timbul dari konsumen yang tidak membaca secara mendetail terkait informasi yang telah diberikan oleh pihak Akulaku, sehingga beranggapa bahwa pihak Akulaku tidak memberikan informasi dengan jujur.",train,hukum perdata islam
