document,partition,label
"Skripsi ini membahas tentang Tinjauan Hukum Pidana Islam Terhadap Sanksi Modifikasi Kendaraan Bermotor Menurut Undang-Undang Nomor 22 Tahun 2009. Yang dilatar belakangi oleh adanya modifikasi Kendaraan Bermotor yang tidak memenuhi Persyaratan dalam Undang-Undang Nomor 22 Tahun 2009 dan menyebabkan kecelakaan lalu lintas. Penelitian ini merupakan penelitian kepustakaan (library research) yang datanya diperoleh dari Undang-Undang Nomor 22 Tahun 2009 tentang lalu lintas dan angkutan jalan. sumber data primer didapat dari undang-undang nomor 22 tahun 2009, majalah modifikasi dan PP nomor 55 tahun 2012, sumber data skunder didapat dari sumber data tidak langsung antara lain dari literatur buku-buku. Metode yang digunakan dalam penelitian adalah deskriptif-analitik, yaitu penelitian yang memaparkan suatu masalah tentang persyaratan teknis modifikasi dan sanksi hukum modifikasi kendaraan yang menyebabkan kecelakaan dalam undang-undang nomor 22 tahun 2009 yang dianalisis dalam hukum pidana islam memakai analisa deduktif yang diinterpretasikan dan kemudian disimpulkan. Hasil penelitian diketahui pertama Persyaratan teknis modifikasi kendaraan bermotor dalam undang-undang nomor 22 tahun 2009 tentang lalu lintas terdapat pada pasal 49, 50, 51, 52, 54, 55. Kedua, Sanksi dalam tindak pidana pelanggaran lalu lintas khususnya dalam modifikasi kendaraan bermotor yang menyebabkan kecelakaan dalam undang- undang nomor 22 tahun 2009 dapat dikenai pasal 277 dan pasal 311 ayat 1. Dalam hukum pidana islam dikenai dengan sanksi ta zir yang hukuman takzirnya menjadi hukuman pokok. Sejalan dengan kesimpulan diatas maka disarankan sebaiknya Pemerintah lebih meningkatkan lagi dalam mensosialisasikan Undang-Undang Nomor 22 tahun 2009 (UU LLAJ) khususnya dalam hal modifikasi kendaraan bermotor, Bagi aparat penegak hukum khususnya aparat yang bertugas dibidang lalu lintas penegakan hukumnya harus lebih tegas sehingga mengurangi banyaknya jumlah pelanggaran terutama mengenai pelanggaran modifikasi kendaraan bermotor yang berakibat kecelakaan, Bagi Para modifikator kendaraan bermotor sebaiknya mematuhi peraturan yang telah ditentukan dengan memperhatikan standar modifikasi kendaraan yang telah ditentukan dalam undang-undang demi keselamatan terhadap dirinya sendiri maupun orang lain.",train,hukum pidana islam
"Hasil penelitian ini menyimpulkan bahwa pertama, pertimbangan hakim yang dijatuhkan Pengadilan Negeri Sidoarjo kepada terdakwa Sugik alias Kolak dan terdakwa Buamat memepertimbangan unsur-unsur yang ada pada Kitab Undang-Undang Hukum Pidana di Republik Indonesia, sebagaimana kejahatan yang dilakukan oleh terdakwa. Kedua, pertanggungjawaban pidana bagi pelaku tindak pidana pencurian dengan kekerasan yang dijatuhi hukuman yang dijatuhkan pada diri para terdakwa adalah hukuman pidana penjara selama 2 tahun. Ketiga, putusan Pengadilan Negeri Sidoarjo Nomor: 832/PID.B/2012/PN.Sda tentang tindak pidana pencurian dengan kekerasan, menurut hukum pidana Islam dapat dikategorikan dalam jarimah hirabah, sehingga terdakwa dihukum ta'zir, dimana hukuman tersebut diserahkan kepada ulil amri (hakim). Macam hukuman ta'zir dapat berupa hukuman mati, penjara, pengucilan, penyalipan, dera, dan ancaman.Uraian diatas dapat disimpulkan bahwa pencurian dengan kekerasan tidak diperboleh di Indonesia. Hal ini karena meresahkan masyarakat dan menimbulkan ketakutan serta ketidakyamanan. Oleh karena itu, perlu ketegasan hukuman bagi yang melanggar agar dapat membuat efek jera bagi pelaku pencurian dengan kekerasan.Sejalan dengan kesimpulan diatas, maka disarankan, hendaknya para hakim maupun calon hakim harus memiliki jiwa keadilan dan kecermatan dalam menjatuhkan hukum pada setiap perkara yang dihadapi, hukuman yang dijatuhkan harus mempunyai efek jera bagi pelaku kejahatan agar tidak terulang lagi ataupun bertambah maraknya kejahatan yang dapat merugikan orang lain serta masyarakat serta masyarakat sebagai warga Negara yang mempunyai moral dan alat yang dapat berperan aktif bagi negaranya dapat melakukan perbuatan-perbuatan yang dapat mencerminkan ketentraman dan kedamaian bagi setiap orang tanpa adanya perbuatan-perbuatan yang merugikan orang lain bahkan dapat membahayakan diri orang lain.",train,hukum pidana islam
"Skripsi ini adalah hasil penelitian kepustakaan untuk menjawab pertanyaan bagaimana pertimbangan hakim terhadap delik penistaan agama Katolik dalam putusan Nomor: 71/Pid.Sus/2018/Pn.Atb dan bagaimana tinjauan hukum pidana Islam terhadap delik penistaan agama Katolik dalam putusan nomor 71/Pid.Sus/2018/Pn. Dalam penelitian ini, penulis menggunakan jenis penelitian kepustakaan dengan metode kualitatif. Data yang digunakan berasal dari putusan Pengadilan Negeri Atambua Nomor: 71/Pid.Sus/2018/Pn sebagai data primer dan data sekunder yang berupa pertauran perundang-undangan, hasil karya ilmiah, pendapat ahli. Hasil penelitian menyimpulkan bahwa: pertama, putusan pengadilan Negeri Atambua Nomor: 71/Pid.Sus/2018/Pn tentang penistaan agama. Dalam hal ini terdakwa  bukan hanya menghina benda-benda hostia kudus untuk keperluan ibadah di tempat. Jadi majelis hakim memutus dengan menggunakan Pasal 177 ayat 2 KUHP dirasa kurang tepat, karena dalam pasal tersebut tidak membahas secara luas tentang penistaan agama. Seharusnya majelis hakim memutuskan dengan menggunakan pasal 156a KUHP. Kedua, dalam hukum pidana Islam tindak pidana penistaan agama yang dilakukan olegh terdakwa dikenai hukuman ta’zi>r. Jadi skripsi ini adalah sebagai contoh penjatuhan pada hukum islam untuk orang non muslim. Hukum islam yang belum menjadi hukum nasional tidak bisa dijatuhkan kepada orang non muslim. Sejalan dengan kesimpulan di atas, maka disarankan kepada Sebaik-baik langkah sebagai warga Negara yang baik adalah menghindari ujaran dan tindakan yang dapat saling mencederai hati satu sama lain. Jauhi tindakan yang dapat merugikan baik umat katolik Indonesia khususnya maupun masyarakat pada umumnya. Umat katolik tanah air juga perlu mewaspadai tindakan-tindakan yang bersifat provokatif menyangkut kasus dugaan penistaan agama.",train,hukum pidana islam
"Skripsi ini merupakan hasil penelitian empiris dengan judul “Tinjauan Hukum Pidana Islam Terhadap Kepolisian Dalam Penanganan Pelaku Tindak Pidana Pencabulan Anak Kandung Di Unit Pelayanan Perempuan Dan Anak Kepolisian Resort Tuban”. Skripsi ini ditulis untuk menjawab pertanyaan yang dituangkan ke dalam 2 rumusan masalah yaitu : 1. Bagaimana pihak kepolisian dalam menangani pelaku tindak pidana pencabulan anak kandung di Unit Pelayanan Perempuan dan Anak Kepolisian Resort Tuban, 2. Bagaimana tinjauan hukum pidana Islam terhadap kepolisian dalam penanganan pelaku tindak pidana pencabulan anak kandung. Data penelitian ini dihimpun dengan menggunakan penelitian hukum empiris dengan mengambil fakta-fakta dari perilaku seseorang yang didapatkan melalui wawancara maupun melalui pengamatan langsung yang didapatkan berupa catatan, rekaman atau sumber informasi dari berbagai macam bentuk lainnya. Penelitian ini dilakukan di Unit Pelayanan Perempuan dan Anak (UPPA) Kepolisian Resort Tuban. Hasil kesimpulan Unit Pelayanan Perempuan dan Anak (UPPA) Kepolisian Resort Tuban penanganan terhadap pelaku pencabulan anak dari proses penangkapan hingga penahanan telah sesuai dengan Pasal 1 angka 20 KUHAP, Pasal 1 angka 21 KUHAP serta ancaman hukuman pada Pasal 82 ayat 1 Peraturan Perundang-undangan Nomor 35 Tahun 2014 tentang Perubahan Atas Undang￾undang Nomor 23 Tahun 2002 tentang Perlindungan Anak serta dalam hukum pidana islam bentuk penanganan pelaku terhadap tindak pidana pencabulan dari proses penyidikan, penahanan hingga hukuman sudah sesuai dengan konsep ta’zir. Ta’zir tersebut berupa penjara yang mana pada zaman Rasulullah ta’zir diterapkan selama proses pemeriksaan hingga benar-benar kesalahan yang diperbuat oleh pelaku nyata. Saran kepada umumnya pihak kepolisian selaku sebagai aparat Negara yang mengayomi masyarakat harus lebih berperan aktif dalam penanganan tindak pidana pencabulan tersebut dengan melakukan upaya pencegahan berupa penyuluhan yang bekerja sama dengan Dinsos atau Binmas dengan tujuan dapat meminimalisir angka kenaikan kasus pencabulan anak.",train,hukum pidana islam
"Skripsi ini adalah hasil penelitian studi kasus dengan judul “Penyelesaian Tindak Pidana Pembunuhan Dengan Carok Melalui Mediasi Dalam Perspektif Hukum Pidana Islam (Studi Kasus Di Desa Lepelle Sampang Madura)” yang bertujuan untuk menjawab pertanyaan: 1) Bagaimana penyelesaian tindak pidana pembunuhan yang berlatar belakang carok di Desa  Lepelle melalui mediasi. 2) Bagaimana perspektif hukum pidana Islam terhadap penyelesaian carok di Desa Lepelle melalui mediasi. Data ini dihimpun melelalui studi pustaka dan studi lapangan, yang selanjutnya data diolah dan dianalisis dengan menggunakan metode deskriptif kualitatif dan dengan pola fikir deduktif untuk memperoleh  kesimpulan yang khusus dan dianalisis menurut hukum pidana Islam.Hasil penelitian ini menyimpulkan bahwa kasus pembunuhan dengan carok yang diselesaikan dengan cara mediasi, yang dimana Kepala desa Lepelle berinisiatif untuk mendamaikan kedua belah pihak dengan cara mediasi untuk menghindari adanya carok ataupun tindak pidana baru yang berkepanjangan atau balas dendam antara dua keluarga yang saling bermusuhan, dinilai sudah sesuai, karena dengan adanya mediasi ini para pihak telah membuat kesepakatan supaya tidak timbul lagi masalah baru yang berkepanjangan dan terciptanya suatu perdamaian. Dalam Agama Islam, perdamaian dikenal dengan kata s}ulh{ yang berarti memutus atau menyelesaikan persengketaan atau perdamaian. Dalam hukum Islam orang yang melakukan pembunuhan juga menggunakan penyelesaian dengan musyawarah terlebih dahulu yaitu dengan sebutan tah}kim{<. Dalam, Alquran Surah Annisa’ ayat 35 dan 178 menjelaskan apabila dikhawatirkan akan terjadi perpecahan di antara kedua belah pihak yang sampai melanggar batas-batas yang ditetapkan Allah, hal itu dapat diperbaiki dengan jalan mediasi (tah{kim<). Kedua belah pihak boleh mengutus seorang hakam, yang mewakili masing-masing, yang mengetahui dengan baik perihal masalah yang dihadapi itu. Sehingga dalam kehidupan pribadipun, Islam telah mewajibkan pula adanya perdamaian antara berbagai keinginan manusia dalam kehidupan pribadinya,Diharapkan kepada pemerintah untuk lebih mensosialisasikan lagi kepada masyarakat cara penyelesaian masalah dengan mediasi, sehingga mediasi dikenal dan diketahui semua masyarakat untuk menyelesaikan kasus yang dihadapinya. Dan juga masyarakat, lebih cermat dan lebih bijak lagi dalam menanggapi kasus seperti ini dan berusaha untuk memberikan jalan keluar yang terbaik, sehingga tidak akan terjadi lagi perbuatan-perbuatan yang merugikan orang lain.",train,hukum pidana islam
"Skripsi yang berjudul “Tinjauan Hukum Pidana Islam Terhadap Tindak Pidana Sengaja Mengedarkan Kosmetik Yang Tidak Memiliki Izin Edar (Studi Putusan Pengadilan Negeri Meulaboh No:87/Pid.B/2012/PN.Mbo)” adalah hasil penelitian kualitatif berupa library research untuk menjawab pertanyaan yaitu Bagaimana pertimbangan hukum dari  hakim dalam memutuskan perkara No. 87/Pid.B/2012/PN.Mbo tentang tindak pidana sengaja mengedarkan kosmetik yang tidak memiliki izin dan bagaimana tinjauan hukum pidana Islam terhadap sanksi tindak pidana sengaja mengedarkan kosmetik yang tidak memiliki izin edar menurut putusan No. 87/Pid.B/2012/PN.Mbo. Data yang diperlukan dalam penelitian ini diporoleh dari kajian kepustakaan, yaitu berupa teknik bedah putusan, dokumentasi serta kepustakaan. Setelah data terkumpul, data dianalisis dengan metode deskriptif, analisis dan pola pikir deduktif untuk memperoleh kesimpulan yang khusus menurut hukum pidana Islam. Dari hasil penelitian ini disimpulkan bahwa putusan yang ditetapkan hakim kepada terdakwa yang terbukti melanggar pasal 197 Jo pasal 106 ayat (1) UU RI No. 36 Tahun 2009 tentang Kesehatan yang mengancam hukuman pidana penjara paling lama 15 (lima belas) tahun. Berdasarkan pertimbangan dalam hal yang memberatkan dan meringankan terdakwa, hukuman yang dijatuhkan oleh hakim yakni pidana selama 4 (empat) bulan penjara dari tuntutan awal jaksa penuntut umum yang menuntut hukuman pidana 6 (enam) bulan penjara dan barang-barang bukti yang dimilikinya dirampas oleh negara untuk dimusnahkan. Meskipun hukuman yang diberikan jauh lebih ringan daripada hukuman yang ditetapkan undang-undang. Namun, hal ini disebabkan karena terdakwa tidak mengetahui secara menyeluruh kosmetik apa saja dan seperti apa yang tidak boleh dijual dan kurangnya informasi dari pengawas Dinas kesehatan Kabupaten Aceh Barat dan juga tidak ada penyuluhan dari Badan POM. Dalam hukum pidana Islam, tindak pidana mengedarkan kosmetik yang tidak memiliki izin edar yang dilakukan oleh terdakwa termasuk dalam kategori jari>mah ta’zi>r karena tidak ada ketentuan nash mengenai tindak pidana ini. Hakim dalam hal ini diberi kewenangan untuk menjatuhkan hukuman bagi pelaku jari>mah ta’zi>r. Melihat perbuatan yang dilakukan terdakwa dampak negatifnya dapat merusak kesehatan orang yang membelinya jika digunakan secara berkepanjangan bahkan bisa mengakibatkan kematian seharusnya dikenai ta’zi>r yang berupa penjara yang mendekati 15 tahun yang sudah ada di dalam pasal 197 UU RI No. 36 Tahun 2009 tentang Kesehatan. Berdasarkan hasil penelitian di atas, diharapkan peredaran sediaan farmasi tanpa izin edar bisa berkurang bahkan bisa dicegah dan kasus-kasus yang telah terjadi dapat segera terselesaikan sesuai dengan ketentuan-ketentuan dalam undang-undang kesehatan serta terciptanya kepastian hukum.",train,hukum pidana islam
"Adalah hasil penelitian pustaka untuk menjawab pertanyaan tentang, 1) Bagaimana penerapan hukuman tambahan bagi pelaku tindak pidana korupsi berupa pembayaran ganti rugi dalam Pasal 18 ayat (1) huruf b UU 20/2001 Tentang Tindak Pidana Korupsi. 2) Bagaimana Tinjauan hukum pidana Islam terhadap hukuman tambahan bagi pelaku tindak pidana korupsi berupa pembayaran ganti rugi dalam Pasal 18 ayat (1) huruf b UU 20/2001 Tentang Tindak Pidana Korupsi. Penelitian ini merupakan jenis penelitian kepustakaan (library research), yaitu penelitian yang diarahkan untuk menelaah dan membahas bahan-bahan pustaka baik berupa buku, makalah, putusan dan kitab yang sesuai dengan pokok masalah yang dikaji. Penelitian ini bersifat deskriptif analitik yaitu menuturkan, menggambarkan dan mengklarifikasi secara objektif data yang dikaji. Sedangkan metode yang dipakai dalam penelitian ini menggunakan analisis deduktif. Deduktif merupakan langkah analisis data dengan cara menerangkan data yang bersifat umum untuk membentuk suatu pandangan yang bersifat khusus, sehingga dapat ditarik menjadi kesimpulan. Hasil dari penelitian ini menjabarkan tentang Ketentuan pidana denda dalam kejahatan korupsi di tingkat extraordinary crime ditinjau hukum pidana Islam yaitu bentuk pemberian hukuman bagi orang yang berdosa dengan cara membayar harta sebagai sanksi atas dosanya. Sementara itu, penerapan pidana denda dengan menggunakan prinsip proporsional bahwa sanksi yang dikenakan harus sesuai dengan beratnya pelanggaran yang telah dilakukan. Hukum pidana Islam menggunakan prinsip restorative justice dengan berpangkal tolak pada upaya pencegahan, rekonsiliasi dan pemaafan dalam rangka perdamaian. Kemudian hukuman denda dalam pidana Islam tidak menetapkan batas terendah atau tertinggi, hal itu sepenuhnya diserahkan kepada hakim. Sejalan dengan kesimpulan di atas, Indonesia merupakan negara yang besar dan sebagian besar penduduknya  beragama Islam, akan tetapi hukum pidana yang masih diberlakukan adalah hukum pidana yang merupakan peninggalan Kolonial Belanda. Untuk itu, perlu adanya sebuah pembaharuan serta pembinaan hukum Nasional, sehingga diharapkan adanya transformasi hukum pidana Islam atau setidak-tidaknya memberi nafas terhadap pemberlakuan hukum Nasional.",train,hukum pidana islam
"Skripsi ini adalah hasil penelitian studi pustaka untuk menjawab pertanyaan Bagaimana Pidana bersyarat dalam kajian hukum Pidana Positif dan hukum Pidana Islam. Data penelitian dihimpun melalui teknik editing, organizing,dan analiyzing. Kemudian dianalisis dengan metode deduktif dan dengan pola pikir analisis komparatif. Hasil penelitian menyimpulkan bahwa Pidana bersyarat menurut hukum Pidana Positif yaitu Suatu Pidana dimana terpidana tidak usah menjalani pidana tersebut, kecuali bilamana selama masa percobaan terpidana telah melanggar syarat-syarat umum atau khusus yang telah ditentukan oleh pengadilan, sebagaiman dijelaskan dalam Pasal 14 a yang menyatakan Apabila hakim menjatuhkan pidana penjara paling lama satu tahun atau kurungan, tidak termasuk kurungan pengganti, maka dalam putusannya dapat memerintahkan pula dikemudian hari ada putusan hakim yang menentukan lain, disebabkan karena terpidana melakukan suatu perbuatan pidana sebelum masa percobaan yang ditentukan dalam perintah diatas habis atau terpidana selama masa percobaan tidak memenuhi syarat khusus yang mungkin ditentukan dalam perintah itu. Jika di analisis menurut hukum Pidana Islam Pidana bersyarat dikatagorikan masuk dalam Di>at danTa’zi>r. Di>at merupakan suatu jenis pidana yang memberikan sejumlah harta dalam ukuran tertentu, yang diberikan pelaku tindak pidana kepada korban atau ahli warisnya. Sedangkan Ta’zi>r merupakan kekuasan dalam memutuskan suatu perkara diserahkan kepada Negara dan selanjutnya diserahkan kepada hakim. Di dalam takziini hakim mempunyai wewenang yang cukup luas untuk memilih jenis pidana yang sesuai dengan keadaan tindak pidana serta diri pelakunya. Kelonggaran atau kemudahan yang diberikan kepada hakim tidak mengurangi tujuan awal dalam setiap pemidanaan, sebagai wujud memperbaiki diri pelaku demi terjaganya kemaslahatan didalam masyarakat. Sejalan dengan kesimpulan diatas maka disarankan Bagi Untuk para penegak hukum diharapkan lebih objektif dalam menyelesaikan suatu perkara (tindak pidana), khususnya Majelis Hakim dalam menjatuhkan suatu pidana lebih mempertimbangkan lagi pemidanaan yang cocok untuk diri pelaku (dader), agar suatu pemidanaan sejalan dengan tujuan pemidanaan sebagai pendidikan yang tentunya tanpa mengurangi hak dari si korban sebagai pemenuhan rasa keadilan.",train,hukum pidana islam
"Metode penelitian yang digunakan dalam penelitian ini adalah studi lapangan. Selanjutnya dianalisis dengan teknik deskripsi kualitatif dengan menggunakan pendekatan empiris. Adapun data yang diperoleh dari metode pengumpulan data yaitu melalui wawancara dan dokumentasi. Sumber data primernya adalah wawancara terhadap jajaran Satuan Lalu Lintas (satlantas) Polrestabes Surabaya dan pengendara ojek online yang melanggar. Adapun datasekundernya yaitu buku-buku hukum, jurnal, serta Undang-Undang No.22 Tahun 2009 Tentang Lalu Lintas dan Angkutan Jalan. Kemudian, teori yang digunakan untuk menganalisis yaitu teori penegakan hukum, teori hukum pidana positif dan teori al-Maslahah al-Mursalah. Hasil penelitian ini menjelaskan bahwa pelaksanaan Pasal 106 ayat 1 Jo Pasal 283 Undang-Undang No.22 tahun 2009 dalam studi kasus jalan Ahmad Yani Surabaya terhadap pengendara ojek online yang menggunakan ponsel kurang dilakukannya penerapan di lapangan karena beberapa faktor, yaitu minimnya kesadaran keselamatan diri sendiri dan keselamatan pengendara lain, ketidaktahuan hukum atau aturan yang berlaku dan minimnya petugas yang berada di lapangan. Dalam tinjauan al-maslahah al-mursalah terhadap pelaksanaan Pasal 106 ayat (1) Jo Pasal 283 Undang-Undang No.22 tahun 2009 dalam studi kasus jalan Ahmad Yani Surabaya terhadap pengendara ojek online yang menggunakan ponsel belum sesuai yang berlaku di lapangan karena polisi merupakan penegak hukum yang belum bisa menerapkan Pasal tersebut secara maksimal dan konsisten, seharusnya sanksi yang diterapkan untuk pelanggar lalu lintas adalah hukuman ta’zi>r berbentuk tilang. Jenis dan berat ringannya hukuman ditentukan oleh pihak pemerintah atau hakim yang menimbang dan menjatuhkan hukuman sesuai kemaslahatan umat. Penerapan dan pelaksanaan pasal dan sanksi ini bertujuan untuk memelihara/melindungi jiwa pada tingkat daruriyat. Jika sanksi tidak diterapkan maka pengendara ojek online akan tetap berkendara dengan menggunakan ponsel sehingga hal ini akan mempersulit Polrestabes Surabaya untuk merealisasikan perlindungan jiwa masyarakat dalam berlalu lintas khususnya di jalan Ahmad Yani Surabaya. Sejalan dengan kesimpulan di atas, maka pihak yang berkaitan dengan masalah penegakan hukum dalam kasus pelanggaran lalu lintas disarankan; pertama, sebaiknya penegak hukum harus menegakan hukum harus berpegang teguh dengan Undang-Undang dan memperbanyak anggota yang bertugas di lapangan agar lebih menertibkan pelanggar lalu lintas lainnya dan tidak terulang.lagi pelanggaran-pelanggaran lainnya. Kedua, hendaknya para pelanggar meningkatkan kesadaran hukum dan berkendara di jalan dengan sebaik-baiknya demi keselamatan diri sendiri dan pengendara lain.",train,hukum pidana islam
"Skripsi ini bertujuan untuk menjawab pertanyaan: 1. Bagaimana Dasar Pertimbangan Hakim Terhadap Putusan Nomor 665/Pid.Sus/2015/PN.Sda tentang tindak pidana narkotika?, 2. Bagaimana Dasar Pertimbangan Hakim terhadap Putusan Nomor 661/Pid.Sus/2015/PN.Sda tentang tindak pidana narkotika? dan 3. Bagaimana Tinjauan Hukum Pidana Islam terhadap Putusan Hakim Nomor 665/Pid.Sus/2015/PN.Sda dan Putusan Nomor 661/Pid.Sus/2015/PN.Sda tentang tindak pidana narkotika? Pendekatan yang digunakan untuk menjawab permasalahan tersebut adalah pendekatan kualitatif. Adapun teknik pengumpulan data yang digunakan dalam penelitian ini adalah dokumentasi dan pustaka. Data yang berhasil dikumpulkan dihimpun melalui pembacaan dan kajian teks (text reading), yang selanjutnya disusun dan dianalisis dengan menggunakan metode deskriptif analisis dengan pola pikir deduktif. Proses Penelitian ini menemukan bahwa terdakwa Muhammat Wildan yang membeli, memiliki, memakai narkotika jenis sabu dan  terdakwa mengajak Taureq Ahmad Muhamat dan Sandra Dwi Aprillia untuk memakai narkotika bersama. Namun pidana penjara yang diberikan berbeda yaitu terdakwa Muhammat Wildan dihukum selama 1 tahun penjara sedangkan Taureq Ahmad Muhamat dan Sandra Dwi Aprillia dihukum 1 tahun 3 bulan. Dalam Hukum Pidana Islam tidak membedakan antara pemakai, pembeli, pemilik, ketiganya merupakan jarimah takzir karena belum diatur secara khusus dalam Alquran maupun hadis. Namun jenis dan berat ringannya hukumannya jelas berbeda tergantung pada tingkatan maksud jahat dan iktikad jahatnya. Penelitian skripsi ini memiliki  kesimpulan Hakim menjatuhkan pidana penjara dengan pidana penjara selama 1 (satu) tahun tehadap tedakwa Muhammad Wildan dan pidana penjara selama 1 (satu) tahun 3 (tiga) bulan terhadap terdakwa Taureq Ahmad Muhamat dan Sandra Dwi Aprillia. Dan dalam hukum pidana Islam hukuman bagi pemakai, pembeli, pemilik adalah takzir. Selain itu skripsi ini memberikan saran sebagai berikut: Hakim Pengadilan Negeri Sidoarjo haruslah lebih jeli ketika dalam menyelesaikan suatu perkara. Karena sekecil apapun hal yang berkaitan dengan kasus pidana pasti akan memberikan dampak terhadap hukuman terdakwa. Dan memberikan hukuman yang seadil-adilnya. Jika hukuman itu kurang adil maka pelaku akan terus berani mengulang kejahatanya.",train,hukum pidana islam
